road,roadName,vulnerableUserAccidents
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_27057550,Amsterdamseweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_45852213,Soestdijkseweg Zuid,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6637351,Heereweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_56760569,De Corantijn,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1417047866,Van Stolberglaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7525923,Kruisplein,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7297298,Burgemeester Jansenlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_532812619,Hoogeind,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6943954,Kerkstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7276681,Grintweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7451839,Haagweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6747968,Akerstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1395743009,Troelstrakade,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7512334,Strevelsweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6652065,Hogelandsingel,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_342063315,Stationsplein,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7525980,Stationsplein,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6874321,Muntweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_226297135,Middelweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_58126856,Kennemerplein,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1073951800,Hoofdstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6972493,Gelderseweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7397836,IJweg,2
