site_id,total_measurements,flow_measurements,speed_measurements,avg_flow,max_flow,avg_speed,max_speed,min_speed,speed_std,latitude,longitude,sensor_type,matched_dgl_loc,wegtype,match_strategy,provider,device_type,road_number,direction,hectometer,lane
RWS01_MONICA_10D007167413D0050009,4,2,2,1080.0,1080.0,80.0,80.0,80.0,0.0,52.97528064406915,5.916451659875261,CountingPoint,RWS01_MONICA_10D007167413D0050009,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0160vwk0467ra,4,2,2,780.0,780.0,73.0,73.0,73.0,0.0,51.70230120740151,4.648531830274417,CountingPoint,RWS01_MONIBAS_0160vwk0467ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D00222B819D005000D,4,2,2,840.0,840.0,90.0,90.0,90.0,0.0,51.119566431838,5.877017454896472,CountingPoint,RWS01_MONICA_10D00222B819D005000D,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0351hrr0340ra,4,2,2,60.0,60.0,88.0,88.0,88.0,0.0,52.36604285544399,6.465765761740141,CountingPoint,RWS01_MONIBAS_0351hrr0340ra,H,exact,RWS01,MONIBAS,0351,hrr,0340,ra
RWS01_MONIBAS_0500vwm2060ra,4,2,2,120.0,120.0,104.0,104.0,104.0,0.0,52.20546401890339,6.021233433609865,CountingPoint,RWS01_MONIBAS_0500vwm2060ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0011hrl0041rb,4,2,2,300.0,300.0,80.0,80.0,80.0,0.0,52.350187876184044,4.960546650639023,CountingPoint,RWS01_MONIBAS_0011hrl0041rb,H,exact,RWS01,MONIBAS,0011,hrl,0041,rb
RWS01_MONICA_10D007167413D0050005,4,2,2,720.0,720.0,100.0,100.0,100.0,0.0,52.97528064406915,5.916451659875261,CountingPoint,RWS01_MONICA_10D007167413D0050005,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D04C00705BD007000B,4,2,2,420.0,420.0,92.0,92.0,92.0,0.0,50.9669048658724,5.7903230205782,CountingPoint,RWS01_MONICA_10D04C00705BD007000B,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D00205F41FD0070013,4,2,2,1920.0,1920.0,93.0,93.0,93.0,0.0,52.2723530887526,4.958080852702182,CountingPoint,RWS01_MONICA_10D00205F41FD0070013,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0010vwm0879ra,4,2,2,240.0,240.0,93.0,93.0,93.0,0.0,52.18955231460242,6.027503849021024,CountingPoint,RWS01_MONIBAS_0010vwm0879ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0010vwn0072ra,4,2,2,300.0,300.0,102.0,102.0,102.0,0.0,52.33627890464563,4.992403779564874,CountingPoint,RWS01_MONIBAS_0010vwn0072ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0040vwn0113rb,4,2,2,1260.0,1260.0,66.0,66.0,66.0,0.0,52.28416105561264,4.722061656235182,CountingPoint,RWS01_MONIBAS_0040vwn0113rb,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D01601C81778200007,4,2,2,,,,,,,52.45804251245304,4.656079107385913,CountingPoint,RWS01_MONICA_10D01601C81778200007,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0580vwc0542ra,4,2,2,300.0,300.0,44.0,44.0,44.0,0.0,51.55633215043277,4.855014413864282,CountingPoint,RWS01_MONIBAS_0580vwc0542ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0121hrr0035rb,4,2,2,1200.0,1200.0,76.0,76.0,76.0,0.0,52.0738557731136,4.340048818706118,CountingPoint,RWS01_MONIBAS_0121hrr0035rb,H,exact,RWS01,MONIBAS,0121,hrr,0035,rb
RWS01_MONIBAS_0590vwt1348ra,4,2,2,,,,,,,51.72192766140088,5.325113996706753,CountingPoint,RWS01_MONIBAS_0590vwt1348ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D01601C8177820000B,4,2,2,,,,,,,52.45804251245304,4.656079107385913,CountingPoint,RWS01_MONICA_10D01601C8177820000B,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_3250vwr0129ra,4,2,2,1500.0,1500.0,71.0,71.0,71.0,0.0,51.89812454992599,5.864854968486378,CountingPoint,RWS01_MONIBAS_3250vwr0129ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0760vwr0024ra,4,2,2,120.0,120.0,79.0,79.0,79.0,0.0,50.96611353193354,5.784021733466688,CountingPoint,RWS01_MONIBAS_0760vwr0024ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D00F05985A08200007,4,2,2,720.0,720.0,81.0,81.0,81.0,0.0,51.90251558645679,4.21249960964236,CountingPoint,RWS01_MONICA_10D00F05985A08200007,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0070vwb1939ra,4,2,2,1020.0,1020.0,87.0,87.0,87.0,0.0,53.19772282612752,6.518699259273762,CountingPoint,RWS01_MONIBAS_0070vwb1939ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D0040B842E68200009,4,2,2,1200.0,1200.0,39.0,39.0,39.0,0.0,51.89403885700761,4.377168918654156,CountingPoint,RWS01_MONICA_10D0040B842E68200009,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0040vwc0490ra,4,2,2,1260.0,1260.0,59.0,59.0,59.0,0.0,52.04209042564944,4.347114139035175,CountingPoint,RWS01_MONIBAS_0040vwc0490ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D00205F41FD007000F,4,2,2,1500.0,1500.0,98.0,98.0,98.0,0.0,52.2723530887526,4.958080852702182,CountingPoint,RWS01_MONICA_10D00205F41FD007000F,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0150vwe1545ra,4,2,2,,,,,,,51.90795061918969,5.764034115900348,CountingPoint,RWS01_MONIBAS_0150vwe1545ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0040vwc0541ra,4,2,2,840.0,840.0,14.0,14.0,14.0,0.0,52.00423695260992,4.311335997220369,CountingPoint,RWS01_MONIBAS_0040vwc0541ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0090vwp0060ra,4,2,2,,,,,,,52.32428240380079,5.004512570116344,CountingPoint,RWS01_MONIBAS_0090vwp0060ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0060vwp0468ra,4,2,2,660.0,660.0,96.0,96.0,96.0,0.0,52.33948705044829,5.168244362472457,CountingPoint,RWS01_MONIBAS_0060vwp0468ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0200vws0232ra,4,2,2,780.0,780.0,96.0,96.0,96.0,0.0,51.93018347679447,4.364961716001,CountingPoint,RWS01_MONIBAS_0200vws0232ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0120vwc1199ra,4,2,2,300.0,300.0,75.0,75.0,75.0,0.0,52.02332044950077,5.804920244705516,CountingPoint,RWS01_MONIBAS_0120vwc1199ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0760vwa0045ra,4,2,2,660.0,660.0,84.0,84.0,84.0,0.0,50.95733807518151,5.808498633171325,CountingPoint,RWS01_MONIBAS_0760vwa0045ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D0100AC800D0070007,4,2,2,840.0,840.0,103.0,103.0,103.0,0.0,51.51419336659488,4.744892079403973,CountingPoint,RWS01_MONICA_10D0100AC800D0070007,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D00205F41FD0070017,4,2,2,1140.0,1140.0,87.0,87.0,87.0,0.0,52.2723530887526,4.958080852702182,CountingPoint,RWS01_MONICA_10D00205F41FD0070017,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0010vwa0339ra,4,2,2,540.0,540.0,80.0,80.0,80.0,0.0,52.220441726587474,5.297588795815517,CountingPoint,RWS01_MONIBAS_0010vwa0339ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0060vwp0472ra,4,2,2,480.0,480.0,89.0,89.0,89.0,0.0,52.3411409778459,5.172645967846457,CountingPoint,RWS01_MONIBAS_0060vwp0472ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0010vwb1052ra,4,2,2,360.0,360.0,81.0,81.0,81.0,0.0,52.23435998012676,6.190009164346017,CountingPoint,RWS01_MONIBAS_0010vwb1052ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D001183C3CD0050009,4,2,2,480.0,480.0,81.0,81.0,81.0,0.0,52.29038342968533,6.733325554060762,CountingPoint,RWS01_MONICA_10D001183C3CD0050009,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0760vwr0021ra,4,2,2,180.0,180.0,73.0,73.0,73.0,0.0,50.96680727674719,5.780411867466994,CountingPoint,RWS01_MONIBAS_0760vwr0021ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D01404141100200007,4,2,2,,,,,,,51.925906388649736,4.402146535503965,CountingPoint,RWS01_MONICA_10D01404141100200007,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D00205F41FD0070007,4,2,2,1080.0,1080.0,114.0,114.0,114.0,0.0,52.2723530887526,4.958080852702182,CountingPoint,RWS01_MONICA_10D00205F41FD0070007,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0020vwe2408ra,4,2,2,600.0,600.0,84.0,84.0,84.0,0.0,50.97224739028816,5.78758359758961,CountingPoint,RWS01_MONIBAS_0020vwe2408ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D04C00705BD0070007,4,2,2,180.0,180.0,96.0,96.0,96.0,0.0,50.9669048658724,5.7903230205782,CountingPoint,RWS01_MONICA_10D04C00705BD0070007,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D0040B842E68200005,4,2,2,2040.0,2040.0,48.0,48.0,48.0,0.0,51.89403885700761,4.377168918654156,CountingPoint,RWS01_MONICA_10D0040B842E68200005,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D00205F41FD007000B,4,2,2,1680.0,1680.0,99.0,99.0,99.0,0.0,52.2723530887526,4.958080852702182,CountingPoint,RWS01_MONICA_10D00205F41FD007000B,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0150vwd0507ra,4,2,2,840.0,840.0,83.0,83.0,83.0,0.0,51.87539814064947,4.389362226458176,CountingPoint,RWS01_MONIBAS_0150vwd0507ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D02C009000D0070007,4,2,2,2040.0,2040.0,110.0,110.0,110.0,0.0,52.23069868148247,4.609710828177812,CountingPoint,RWS01_MONICA_10D02C009000D0070007,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0200vwc0224ra,4,2,2,960.0,960.0,71.0,71.0,71.0,0.0,51.92306327258402,4.351108999254436,CountingPoint,RWS01_MONIBAS_0200vwc0224ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0150vwg0627ra,4,2,2,480.0,480.0,100.0,100.0,100.0,0.0,51.86895470348291,4.557118103534849,CountingPoint,RWS01_MONIBAS_0150vwg0627ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0301hrl0083rb,4,2,2,1620.0,1620.0,80.0,80.0,80.0,0.0,52.03031218992964,5.612546779861769,CountingPoint,RWS01_MONIBAS_0301hrl0083rb,H,exact,RWS01,MONIBAS,0301,hrl,0083,rb
RWS01_MONIBAS_0150vwa0424ra,4,2,2,,,,,,,51.86843526843887,4.271651085361035,CountingPoint,RWS01_MONIBAS_0150vwa0424ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0060vwq0472ra,4,2,2,,,,,,,52.34140931020964,5.172761403616285,CountingPoint,RWS01_MONIBAS_0060vwq0472ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0070vwa0134ra,4,2,2,900.0,900.0,76.0,76.0,76.0,0.0,52.50312292902774,4.930059657544389,CountingPoint,RWS01_MONIBAS_0070vwa0134ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0280vwa0171ra,4,2,2,60.0,60.0,71.0,71.0,71.0,0.0,52.13141406133163,5.381847037013265,CountingPoint,RWS01_MONIBAS_0280vwa0171ra,H,exact,RWS01,MONIBAS,,,,
