id,naam,dgl_loc,lengte,wegtype,meetgeg,ref_begin,ref_eind,ref_loc,length_km,geometry_wkt,sensor_uri,sensor_type,centroid_lon,centroid_lat
4277,0040vwm0070ra0,RWS01_MONIBAS_0040vwm0070ra0,400.0,H,4,12829,12830,12831,0.4000000002627463,"LINESTRING (4.753943032686746 52.3180669698743, 4.753920196669554 52.31804610988885, 4.753760445450737 52.31789535165342, 4.753516104439753 52.3176571488834, 4.753326848160918 52.31746469978517, 4.753141768637818 52.31727073492885, 4.752963545229828 52.31707752286592, 4.752788824318912 52.31687998725006, 4.752618163213884 52.31668110608207, 4.752421186149085 52.31644153091375, 4.752199283855146 52.31615781232186, 4.752021011892504 52.31591679093802, 4.7518167856096 52.315628142255925, 4.751650431886497 52.31537853163404, 4.751320460480541 52.3148602937619)",sensor:meetvak_627,MeasurementSection,4.752555985888861,52.31652560292981
4276,0020vwm1119ra0,RWS01_MONIBAS_0020vwm1119ra0,321.0,H,4,12826,12827,12828,0.32114084169481893,"LINESTRING (5.323097416100588 51.72443669849697, 5.325537901636323 51.7230548037362, 5.326558905132737 51.72251080250264)",sensor:meetvak_628,MeasurementSection,5.324823098068339,51.72346453591659
4275,0061hrl0604ra0,RWS01_MONIBAS_0061hrl0604ra0,278.0,H,4,12823,12824,12825,0.2788926560727726,"LINESTRING (5.335081187541345 52.39528804918606, 5.334968601672676 52.39524030415166, 5.334555401672259 52.39506820415154, 5.333982001671676 52.39483220415141, 5.333230201670915 52.39453060415126, 5.332387901670062 52.39419340415103, 5.33166590166933 52.39390340415092)",sensor:meetvak_629,MeasurementSection,5.333375426454149,52.394591125506714
4274,0731hrr1116ra0,RWS01_MONIBAS_0731hrr1116ra0,1369.0,H,4,12820,12821,12822,1.3696861096790576,"LINESTRING (5.750542452368237 51.85046902347372, 5.750388 51.850511, 5.7487844 51.8509149, 5.7476179 51.8511977, 5.7459004 51.8515757, 5.74561 51.85164, 5.7435382 51.8520576, 5.7419269 51.85234, 5.7413682 51.8524437, 5.7396503 51.8527313, 5.7359912 51.8533411, 5.731561095798402 51.854086512502924)",sensor:meetvak_630,MeasurementSection,5.741080435250844,51.8524188311978
4273,0161hrl0681ra0,RWS01_MONIBAS_0161hrl0681ra0,314.0,H,4,12817,12818,12819,0.314900363224813,"LINESTRING (4.745433401041595 51.5222657036078, 4.745275201041487 51.52334770360845, 4.745136501041379 51.52402310360897, 4.744882325355246 51.525074289097425)",sensor:meetvak_631,MeasurementSection,4.745188356520576,51.523675897743914
5787,0151hrr0613ra1,RWS01_MONIBAS_0151hrr0613ra1,601.0,H,4,17359,17360,17361,0.6013632663589158,"LINESTRING (4.538550400242655 51.86370866110613, 4.538599000849748 51.863712703829364, 4.539599300850759 51.863820703829425, 4.540804300851978 51.863975703829524, 4.542135100853329 51.864192103829666, 4.543454600854671 51.86444670382984, 4.54473290085597 51.86472540383, 4.545299100856548 51.86487240383011, 4.546845900858126 51.86532090383042)",sensor:meetvak_632,MeasurementSection,4.542725895336871,51.86437446291894
4272,0791hrl0010ra0,RWS01_MONIBAS_0791hrl0010ra0,408.0,H,4,12814,12815,12816,0.408212778424411,"LINESTRING (5.736270641185411 50.8728282616137, 5.736059 50.8727502, 5.7352866 50.87247, 5.7337449 50.8719045, 5.7332056 50.8716935, 5.7321685 50.87126, 5.7320613 50.8712119, 5.731348971790059 50.870892291626284)",sensor:meetvak_633,MeasurementSection,5.733795270953899,50.871896500839874
4271,0021hrr2079ra0,RWS01_MONIBAS_0021hrr2079ra0,8054.0,H,4,12811,12812,12813,8.05482919704978,"LINESTRING (5.810454110749356 51.22014384541522, 5.8113013 51.2192382, 5.8140787 51.2162673, 5.8194695 51.2105171, 5.8238979 51.2057693, 5.8269987 51.2024628, 5.828247 51.2011317, 5.8303204 51.1989162, 5.83385 51.19511, 5.8398239 51.1886704, 5.840548 51.1878298, 5.8412427 51.1869724, 5.8419106 51.1860848, 5.8424427 51.1854039, 5.8426055 51.1851732, 5.8434735 51.183845, 5.8438817 51.1831561, 5.84485 51.18147, 5.8452848 51.1807837, 5.8456764 51.1802473, 5.8463872 51.1793612, 5.8474343 51.178276, 5.8479482 51.1777948, 5.8488843 51.1770298, 5.8500009 51.1762255, 5.8505831 51.1758479, 5.8512558 51.1754469, 5.8519565 51.1750525, 5.8526683 51.1746968, 5.8531956 51.1744471, 5.853834 51.1741579, 5.8546983 51.1738013, 5.855556 51.1734752, 5.8568649 51.173011, 5.85889 51.17236, 5.86018 51.17198, 5.8637 51.17101, 5.86596 51.17042, 5.8702487 51.1692365, 5.8707152 51.1691062, 5.8760739 51.1676603, 5.8775652 51.1672331, 5.8785214 51.166944, 5.8794347 51.1666548, 5.88044 51.1663, 5.880659236975729 51.166217960933245)",sensor:meetvak_634,MeasurementSection,5.842728435630287,51.18860514225868
4270,0241hrl0025ra0,RWS01_MONIBAS_0241hrl0025ra0,289.0,H,4,12808,12809,12810,0.2892587866932836,"LINESTRING (4.29024980060255 51.9096751038565, 4.290928200603259 51.910178903856796, 4.291424500603781 51.91059750385709, 4.292395400604809 51.9115440038577, 4.292652792084048 51.91180325546564)",sensor:meetvak_635,MeasurementSection,4.2914844658872005,51.91070086318858
4269,0581hrr0281ra0,RWS01_MONIBAS_0581hrr0281ra0,551.0,H,4,12805,12806,12807,0.5510471601420456,"LINESTRING (5.200746680270695 51.52949358510512, 5.199771001501452 51.52975390361076, 5.19351525537319 51.53154011716249)",sensor:meetvak_636,MeasurementSection,5.19712894390328,51.53050952200237
4268,0321hrr0452ra0,RWS01_MONIBAS_0321hrr0452ra0,1523.0,H,4,12802,12803,12804,1.5232435470745613,"LINESTRING (5.941683282754209 52.95288854717118, 5.9402119 52.956321, 5.9398814 52.9570877, 5.9397742 52.9572924, 5.939456 52.9579097, 5.9391102 52.9585227, 5.9388624 52.9589407, 5.9382224 52.9599219, 5.9377491 52.9605919, 5.9375986 52.9607788, 5.9371717 52.9613267, 5.9367273 52.9618708, 5.9364609 52.9621932, 5.9358586 52.9628691, 5.9354159 52.9633175, 5.9352785 52.9634567, 5.9350514 52.9636941, 5.9345084 52.9642181, 5.933639 52.9649952, 5.9333354 52.9652519, 5.933104941053047 52.96544392861534)",sensor:meetvak_637,MeasurementSection,5.937973651857741,52.959571821149986
