id,naam,dgl_loc,meetricht,wegtype,meetgeg,ref_mvak,longitude,latitude,geometry_wkt,sensor_uri,sensor_type
18623,0151hrr0610ra,RWS01_MONIBAS_0151hrr0610ra,89,H,3,,4.534640550401568,51.863509869668896,POINT (4.534640550401568 51.863509869668896),sensor:telpunt_913,CountingPoint
18622,00D03A03D023D0050005,RWS01_MONICA_00D03A03D023D0050005,116,H,3,,5.24950743570005,51.515626877315746,POINT (5.24950743570005 51.515626877315746),sensor:telpunt_914,CountingPoint
18621,00D00A026416D0070013,RWS01_MONICA_00D00A026416D0070013,241,H,3,,4.92138178396939,52.32991061121503,POINT (4.92138178396939 52.32991061121503),sensor:telpunt_915,CountingPoint
18620,0021hrr2336ra,RWS01_MONIBAS_0021hrr2336ra,210,H,3,,5.820789407750342,51.029540389763326,POINT (5.820789407750342 51.029540389763326),sensor:telpunt_916,CountingPoint
18619,00D00727581C10200005,RWS01_MONICA_00D00727581C10200005,275,H,3,,7.207056842030044,53.17699515253934,POINT (7.207056842030044 53.17699515253934),sensor:telpunt_917,CountingPoint
18618,00D01C11F05FD007000B,RWS01_MONICA_00D01C11F05FD007000B,20,H,3,,6.199840729797457,52.66984044503968,POINT (6.199840729797457 52.66984044503968),sensor:telpunt_918,CountingPoint
18617,00D00A026416D0070007,RWS01_MONICA_00D00A026416D0070007,241,H,3,,4.92138178396939,52.32991061121503,POINT (4.92138178396939 52.32991061121503),sensor:telpunt_919,CountingPoint
18616,00D006098046D0050005,RWS01_MONICA_00D006098046D0050005,236,H,3,,5.339734047347387,52.397284008336015,POINT (5.339734047347387 52.397284008336015),sensor:telpunt_920,CountingPoint
18615,0040vwd2365ra,RWS01_MONIBAS_0040vwd2365ra,348,H,3,,4.316376859553862,51.480206406872526,POINT (4.316376859553862 51.480206406872526),sensor:telpunt_921,CountingPoint
18614,0040vwm0371ra,RWS01_MONIBAS_0040vwm0371ra,221,H,3,,4.468766065564872,52.11752814609621,POINT (4.468766065564872 52.11752814609621),sensor:telpunt_922,CountingPoint
18613,00D00705C850D007000B,RWS01_MONICA_00D00705C850D007000B,359,H,3,,5.030162420807915,52.69580400526601,POINT (5.030162420807915 52.69580400526601),sensor:telpunt_923,CountingPoint
18612,00D00A026C5D98200007,RWS01_MONICA_00D00A026C5D98200007,253,H,3,,4.917687111769515,52.3290099024257,POINT (4.917687111769515 52.3290099024257),sensor:telpunt_924,CountingPoint
18611,00D0010DB04628200005,RWS01_MONICA_00D0010DB04628200005,290,H,3,,6.023409500874006,52.190856085379565,POINT (6.023409500874006 52.190856085379565),sensor:telpunt_925,CountingPoint
18610,0040vwt0079ra,RWS01_MONIBAS_0040vwt0079ra,199,H,3,,4.748565482850008,52.31048852587717,POINT (4.748565482850008 52.31048852587717),sensor:telpunt_926,CountingPoint
18609,00D00C0A585FD007000B,RWS01_MONICA_00D00C0A585FD007000B,100,H,3,,5.193533115011554,52.061638654203556,POINT (5.193533115011554 52.061638654203556),sensor:telpunt_927,CountingPoint
18608,00D00C0A585FD0070007,RWS01_MONICA_00D00C0A585FD0070007,100,H,3,,5.193533115011554,52.061638654203556,POINT (5.193533115011554 52.061638654203556),sensor:telpunt_928,CountingPoint
18607,00D00206040AD0050011,RWS01_MONICA_00D00206040AD0050011,343,H,3,,4.960367191802224,52.269136688689166,POINT (4.960367191802224 52.269136688689166),sensor:telpunt_929,CountingPoint
18606,00D0021AC01CD007000B,RWS01_MONICA_00D0021AC01CD007000B,164,H,3,,5.507761784314812,51.39252365482585,POINT (5.507761784314812 51.39252365482585),sensor:telpunt_930,CountingPoint
18605,0120vwa1488ra,RWS01_MONIBAS_0120vwa1488ra,173,H,3,,6.152975699305625,51.90719505728032,POINT (6.152975699305625 51.90719505728032),sensor:telpunt_931,CountingPoint
18604,0501hrr1826ra,RWS01_MONIBAS_0501hrr1826ra,33,H,3,,5.92248107746583,52.017759723955955,POINT (5.92248107746583 52.017759723955955),sensor:telpunt_932,CountingPoint
18603,0161hrr0668ra,RWS01_MONIBAS_0161hrr0668ra,167,H,3,,4.741643445919991,51.53326162302143,POINT (4.741643445919991 51.53326162302143),sensor:telpunt_933,CountingPoint
18602,00D004089C4600200007,RWS01_MONICA_00D004089C4600200007,157,H,3,,4.317449923758676,51.995703460932376,POINT (4.317449923758676 51.995703460932376),sensor:telpunt_934,CountingPoint
18601,0441hrl0021ra,RWS01_MONIBAS_0441hrl0021ra,82,H,3,,4.630110329551445,52.23160253526003,POINT (4.630110329551445 52.23160253526003),sensor:telpunt_935,CountingPoint
18600,0010vwm0317ra,RWS01_MONIBAS_0010vwm0317ra,91,H,3,,5.265507970769026,52.22372119695879,POINT (5.265507970769026 52.22372119695879),sensor:telpunt_936,CountingPoint
18599,0041hrr0074ra,RWS01_MONIBAS_0041hrr0074ra,201,H,3,,4.751165716057671,52.31423824669672,POINT (4.751165716057671 52.31423824669672),sensor:telpunt_937,CountingPoint
18598,10D01404545AD007000B,RWS01_MONICA_10D01404545AD007000B,56,H,3,,4.424098841005926,51.925298981830096,POINT (4.424098841005926 51.925298981830096),sensor:telpunt_938,CountingPoint
18597,00D00212081468200005,RWS01_MONICA_00D00212081468200005,352,H,3,,5.352085690889277,51.69962568287379,POINT (5.352085690889277 51.69962568287379),sensor:telpunt_939,CountingPoint
18596,00D00606B82DD0070007,RWS01_MONICA_00D00606B82DD0070007,58,H,3,,5.123586333500302,52.31856200344072,POINT (5.123586333500302 52.31856200344072),sensor:telpunt_940,CountingPoint
